IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ZOFIA,KOBIETA,4415
ZUZANNA,KOBIETA,3881
MAJA,KOBIETA,3873
LAURA,KOBIETA,3821
HANNA,KOBIETA,3452
JULIA,KOBIETA,3207
OLIWIA,KOBIETA,3067
POLA,KOBIETA,2812
ALICJA,KOBIETA,2788
EMILIA,KOBIETA,2556
MARIA,KOBIETA,2536
AMELIA,KOBIETA,2523
ANTONINA,KOBIETA,2507
HELENA,KOBIETA,2493
LILIANA,KOBIETA,2408
MICHALINA,KOBIETA,2380
KLARA,KOBIETA,2352
MARCELINA,KOBIETA,2257
WIKTORIA,KOBIETA,1988
ŁUCJA,KOBIETA,1901
IGA,KOBIETA,1872
LENA,KOBIETA,1845
ROZALIA,KOBIETA,1814
GABRIELA,KOBIETA,1745
NELA,KOBIETA,1605
KORNELIA,KOBIETA,1595
LILIANNA,KOBIETA,1397
ALEKSANDRA,KOBIETA,1308
AURELIA,KOBIETA,1268
BLANKA,KOBIETA,1235
RÓŻA,KOBIETA,1196
ANIELA,KOBIETA,1187
JAGODA,KOBIETA,1152
ANNA,KOBIETA,1147
KAJA,KOBIETA,1147
NADIA,KOBIETA,1138
MIA,KOBIETA,1013
JAŚMINA,KOBIETA,964
ANASTAZJA,KOBIETA,928
NATALIA,KOBIETA,892
SARA,KOBIETA,867
MILENA,KOBIETA,838
NINA,KOBIETA,759
WERONIKA,KOBIETA,741
BARBARA,KOBIETA,735
MATYLDA,KOBIETA,713
LIWIA,KOBIETA,656
WANDA,KOBIETA,654
NIKOLA,KOBIETA,623
ELIZA,KOBIETA,614
ZOJA,KOBIETA,609
ADRIANNA,KOBIETA,558
MELANIA,KOBIETA,499
NEL,KOBIETA,496
MARIANNA,KOBIETA,486
GAJA,KOBIETA,477
KAROLINA,KOBIETA,472
APOLONIA,KOBIETA,468
SOFIA,KOBIETA,464
AGATA,KOBIETA,455
MARTYNA,KOBIETA,450
DIANA,KOBIETA,409
LIDIA,KOBIETA,402
MAGDALENA,KOBIETA,388
BIANKA,KOBIETA,386
STEFANIA,KOBIETA,385
FELICJA,KOBIETA,384
KINGA,KOBIETA,374
EWA,KOBIETA,356
IZABELA,KOBIETA,319
URSZULA,KOBIETA,305
KALINA,KOBIETA,299
IDA,KOBIETA,296
MALWINA,KOBIETA,289
JAGNA,KOBIETA,288
JOANNA,KOBIETA,286
EMMA,KOBIETA,279
DOMINIKA,KOBIETA,278
JADWIGA,KOBIETA,268
LUIZA,KOBIETA,264
MAŁGORZATA,KOBIETA,261
ADELINA,KOBIETA,250
RITA,KOBIETA,246
LILIA,KOBIETA,243
