IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
MARCELA,KOBIETA,30
ILONA,KOBIETA,30
WIOLETTA,KOBIETA,29
HIACYNTA,KOBIETA,29
LAILA,KOBIETA,28
JOLANTA,KOBIETA,27
LUNA,KOBIETA,27
HALINA,KOBIETA,27
GABRIELLA,KOBIETA,25
SELENA,KOBIETA,25
ANDŻELIKA,KOBIETA,25
WALERIA,KOBIETA,24
ADELINA,KOBIETA,24
ZOYA,KOBIETA,24
BOGNA,KOBIETA,24
ARINA,KOBIETA,24
CARMEN,KOBIETA,24
VERONIKA,KOBIETA,23
INA,KOBIETA,23
BOGUMIŁA,KOBIETA,23
LAYLA,KOBIETA,23
IRMINA,KOBIETA,23
JASMINA,KOBIETA,23
HANNAH,KOBIETA,23
LIA,KOBIETA,22
NIKA,KOBIETA,22
BIANCA,KOBIETA,22
LILY,KOBIETA,21
LILLY,KOBIETA,21
NELLA,KOBIETA,20
ELEONORA,KOBIETA,20
ABIGAIL,KOBIETA,20
KSENIA,KOBIETA,20
IZA,KOBIETA,19
VARVARA,KOBIETA,19
NIKOL,KOBIETA,19
MELISSA,KOBIETA,19
ZOSIA,KOBIETA,19
IWONA,KOBIETA,18
LEONIA,KOBIETA,18
CLARA,KOBIETA,18
HALSZKA,KOBIETA,18
ZUZA,KOBIETA,18
SOFIJA,KOBIETA,18
ANIKA,KOBIETA,18
DANIELA,KOBIETA,18
PAMELA,KOBIETA,18
NELLY,KOBIETA,18
RENATA,KOBIETA,17
LEILA,KOBIETA,17
MARITA,KOBIETA,17
LUKRECJA,KOBIETA,17
SARAH,KOBIETA,16
DOBROSŁAWA,KOBIETA,16
KATIA,KOBIETA,16
ELIZABETH,KOBIETA,16
DOBROMIŁA,KOBIETA,16
GRETA,KOBIETA,16
MICHELLE,KOBIETA,16
KAYA,KOBIETA,16
LEOKADIA,KOBIETA,15
FLORA,KOBIETA,15
MIROSŁAWA,KOBIETA,15
GAIA,KOBIETA,15
KASANDRA,KOBIETA,15
ALEXANDRA,KOBIETA,15
MARIIA,KOBIETA,14
LEYLA,KOBIETA,14
STANISŁAWA,KOBIETA,14
NICOL,KOBIETA,14
MIJA,KOBIETA,14
NELL,KOBIETA,14
OLEKSANDRA,KOBIETA,14
ELWIRA,KOBIETA,13
ARIANNA,KOBIETA,13
CHARLOTTE,KOBIETA,13
OKSANA,KOBIETA,13
JANKA,KOBIETA,13
ANGELINA,KOBIETA,13
NADZIEJA,KOBIETA,13
MARYLA,KOBIETA,13
BOŻENA,KOBIETA,12
REGINA,KOBIETA,12
ALICIA,KOBIETA,12
EVELINA,KOBIETA,12
ORIANA,KOBIETA,12
ANASTASIIA,KOBIETA,12
ALICE,KOBIETA,12
MAJKA,KOBIETA,12
ISABELLA,KOBIETA,12
SOLOMIIA,KOBIETA,11
MIŁOSŁAWA,KOBIETA,11
KATERYNA,KOBIETA,11
LORENA,KOBIETA,11
ŻANETA,KOBIETA,11
HANIA,KOBIETA,11
OLENA,KOBIETA,11
KORA,KOBIETA,11
ARIA,KOBIETA,11
LISA,KOBIETA,11
LINDA,KOBIETA,11
SABRINA,KOBIETA,11
ILIANA,KOBIETA,10
ELLA,KOBIETA,10
ARLETA,KOBIETA,10
ERIKA,KOBIETA,10
VIVIEN,KOBIETA,10
CHLOE,KOBIETA,10
ANATOLA,KOBIETA,10
KIARA,KOBIETA,10
KAYLA,KOBIETA,10
EMANUELA,KOBIETA,10
SAWA,KOBIETA,10
EMILIIA,KOBIETA,10
MARZENA,KOBIETA,10
VERONICA,KOBIETA,9
ALENA,KOBIETA,9
LILLI,KOBIETA,9
LUDMIŁA,KOBIETA,9
BERENIKA,KOBIETA,9
GRACJA,KOBIETA,9
NATALIE,KOBIETA,9
NASTAZJA,KOBIETA,9
NOELIA,KOBIETA,9
BELLA,KOBIETA,9
AMINA,KOBIETA,9
CELESTYNA,KOBIETA,9
ELIANA,KOBIETA,9
MELODY,KOBIETA,9
VALENTINA,KOBIETA,9
AMIRA,KOBIETA,8
VALERIA,KOBIETA,8
MARYSIA,KOBIETA,8
DŻESIKA,KOBIETA,8
AISHA,KOBIETA,8
YELYZAVETA,KOBIETA,8
FILOMENA,KOBIETA,8
