IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ANTONI,MĘŻCZYZNA,8368
JAN,MĘŻCZYZNA,7658
ALEKSANDER,MĘŻCZYZNA,7165
JAKUB,MĘŻCZYZNA,7162
FRANCISZEK,MĘŻCZYZNA,7124
SZYMON,MĘŻCZYZNA,6083
FILIP,MĘŻCZYZNA,5474
MIKOŁAJ,MĘŻCZYZNA,5368
LEON,MĘŻCZYZNA,5018
STANISŁAW,MĘŻCZYZNA,4963
WOJCIECH,MĘŻCZYZNA,4687
ADAM,MĘŻCZYZNA,4469
KACPER,MĘŻCZYZNA,4286
TYMON,MĘŻCZYZNA,4220
NIKODEM,MĘŻCZYZNA,4171
MARCEL,MĘŻCZYZNA,4054
IGNACY,MĘŻCZYZNA,3867
MICHAŁ,MĘŻCZYZNA,3484
WIKTOR,MĘŻCZYZNA,3362
IGOR,MĘŻCZYZNA,2982
OLIWIER,MĘŻCZYZNA,2959
MAKSYMILIAN,MĘŻCZYZNA,2849
PIOTR,MĘŻCZYZNA,2839
TYMOTEUSZ,MĘŻCZYZNA,2691
MIŁOSZ,MĘŻCZYZNA,2561
OSKAR,MĘŻCZYZNA,2156
JULIAN,MĘŻCZYZNA,2106
BARTOSZ,MĘŻCZYZNA,2027
DAWID,MĘŻCZYZNA,2025
MATEUSZ,MĘŻCZYZNA,1913
KRZYSZTOF,MĘŻCZYZNA,1755
GABRIEL,MĘŻCZYZNA,1717
KAROL,MĘŻCZYZNA,1717
ALAN,MĘŻCZYZNA,1671
DOMINIK,MĘŻCZYZNA,1568
HUBERT,MĘŻCZYZNA,1520
TOMASZ,MĘŻCZYZNA,1478
MACIEJ,MĘŻCZYZNA,1460
FABIAN,MĘŻCZYZNA,1446
BRUNO,MĘŻCZYZNA,1292
PAWEŁ,MĘŻCZYZNA,1188
NATAN,MĘŻCZYZNA,1145
KSAWERY,MĘŻCZYZNA,1073
KAMIL,MĘŻCZYZNA,948
BORYS,MĘŻCZYZNA,911
BARTŁOMIEJ,MĘŻCZYZNA,899
ARTUR,MĘŻCZYZNA,886
TADEUSZ,MĘŻCZYZNA,876
PATRYK,MĘŻCZYZNA,841
CEZARY,MĘŻCZYZNA,820
KAJETAN,MĘŻCZYZNA,819
KUBA,MĘŻCZYZNA,798
ADRIAN,MĘŻCZYZNA,747
OLAF,MĘŻCZYZNA,741
HENRYK,MĘŻCZYZNA,703
GRZEGORZ,MĘŻCZYZNA,670
SEBASTIAN,MĘŻCZYZNA,647
DANIEL,MĘŻCZYZNA,591
ERYK,MĘŻCZYZNA,580
KORNEL,MĘŻCZYZNA,574
KRYSTIAN,MĘŻCZYZNA,567
WITOLD,MĘŻCZYZNA,552
KAZIMIERZ,MĘŻCZYZNA,551
JÓZEF,MĘŻCZYZNA,550
RAFAŁ,MĘŻCZYZNA,493
TEODOR,MĘŻCZYZNA,488
MILAN,MĘŻCZYZNA,479
JERZY,MĘŻCZYZNA,479
STEFAN,MĘŻCZYZNA,475
TOBIASZ,MĘŻCZYZNA,473
MIESZKO,MĘŻCZYZNA,473
ŁUKASZ,MĘŻCZYZNA,469
LEONARD,MĘŻCZYZNA,461
EMIL,MĘŻCZYZNA,431
GUSTAW,MĘŻCZYZNA,418
MARCIN,MĘŻCZYZNA,417
DAMIAN,MĘŻCZYZNA,413
OLIVIER,MĘŻCZYZNA,404
ROBERT,MĘŻCZYZNA,402
BŁAŻEJ,MĘŻCZYZNA,385
